Name | Approach Category | Definition | Parent(s) | Synonym(s) | Notes
Conversion Testing | Type (IEEE, 2022, p. 22) | Testing that verifies that the software can be modified "to enable it to operate with similar functional capability in a different environment" (IEEE, 2017, p. 103), for example, "in replacement systems" (Kam, 2008, p. 43) | Portability Testing? | Migration Testing? (Kam, 2008, p. 46) | 
Cookie Testing | Approach | Testing based on the use of cookies to "get [a]round the stateless nature of the web and how this might be subverted" (Gerrard, 2000b, p. 18), such as by "crack[ing] the password algorithm" (pp. 28-29) | Penetration Testing (Gerrard, 2000b, p. 28), Web Application Testing |  | 
Correctness Testing (Firesmith, 2015, p. 53) | Type (implied by its quality (IEEE, 2017, p. 104; Washizaki, 2024, p. 3-13) and by Firesmith, 2015, p. 53) | Testing the "degree to which a system or component is free from faults in its specification, design, and implementation[,] … meet[s] specified requirements[, or] … meet[s] user needs and expectations" (IEEE, 2017, p. 104) | Functional Suitability Testing (ISO/IEC, 2023a) | Functional Testing? (Washizaki, 2024, p. 5-7) | Synonym for "conformance"? Related to functional testing (Washizaki, 2024, p. 5-7)
COTS Testing (Firesmith, 2015, p. 34) | Approach |  | Reuse Testing (Firesmith, 2015, p. 34) | Commercial Off-the-Shelf Testing (Hamburg and Mogyorodi, 2024) | 
COTS Vendor Testing (Firesmith, 2015, p. 37) | Practice? |  | Development Organization Testing (Firesmith, 2015, p. 37), COTS Testing |  | 
Cross-Browser Compatibility Testing (Doğan et al., 2014, Tab. 8) | Approach | Testing the "appearance and behavior" of a website "in different browsers" (Choudhary et al., 2010, p. 1) | Web Application Testing (Doğan et al., 2014, Tabs. 8, 22), UI Testing, Functionality Testing (Choudhary et al., 2010, p. 1), Automated Testing (Gerrard, 2000a, Tab. 2; 2000b, Tab. 1; Choudhary et al., 2010, p. 3), Back-to-Back Testing, Differential Assertion Checking (implied by p. 1), Regression Testing (can be) (Tab. 1), Manual Testing (often) (pp. 1, 5-6), Developer Testing (Gerrard, 2000a, p. 11), Fault-based Testing (implied by Doğan et al., 2014, pp. 195-196), Configuration Testing (implied by Gerrard, 2000a, p. 11), Compatibility Testing | Cross-Browser Compliance Testing (implied by Choudhary et al., 2010, p. 1), Browser Syntax Compatibility (Testing?) (implied by Gerrard, 2000b, p. 5) | "Issues range from simple cosmetic problems in the user interface to critical functionality failures" and "are observed on the client side" (Choudhary et al., 2010, p. 1). Can be performed based on structural and/or visual analysis (p. 2) and using multiple platforms, browsers, and/or version (p. 3)
Crowd Testing | Approach (Hamburg and Mogyorodi, 2024) | Testing performed by "a large group of testers" (Hamburg and Mogyorodi, 2024) |  |  | 
Customer Acceptance Testing (Firesmith, 2015, p. 30) | Level (Firesmith, 2015, p. 30; inferred from acceptance testing) |  | Acceptance Testing (Firesmith, 2015, p. 30) | CAT (conflicts with "contract(ual) AT") (Firesmith, 2015, p. 30) | 
Dark Launches | Technique (Washizaki, 2024, p. 6-5) |  |  |  | A method for "testing the software in the production system context" which "can be particularly challenging" (Washizaki, 2024, p. 6-5)
Data Center Testing (Firesmith, 2015, p. 24) | Level (inferred from operational testing) |  | Operational Testing (Firesmith, 2015, p. 30) |  | 
Data Dependence Transition Relation Testing (Doğan et al., 2014, Tab. 13; OG Peng and Lu, 2011) | Approach |  | Web Application Testing (Doğan et al., 2014, Tab. 13), Data-driven Testing? |  | 
Data Flow Analysis | Approach | "Analysis based on the lifecycle of variables" (Hamburg and Mogyorodi, 2024) | Static Analysis (Hamburg and Mogyorodi, 2024) |  | 
Data Flow Testing | Technique (IEEE, 2022, p. 22; 2021, p. 3, Fig. 2; Washizaki, 2024, p. 5-13; Kam, 2008, p. 43), Practice? (since it is a "class of … techniques" (IEEE, 2021, p. 3); see notes) | Control flow testing with additional "information about how the variables are defined, used, and killed" (Washizaki, 2024, p. 5-13) "based on exercising definition-use pairs" (IEEE, 2021, p. 3) | Structure-based Testing (IEEE, 2022, p. 22; 2021, p. 3, Fig. 2; Kam, 2008, p. 43), Web Application Testing (Doğan et al., 2014, p. 179; can be in Kam, 2008, pp. 16-17), Control Flow Testing (implied by Washizaki, 2024, p. 5-13; IEEE, 2017, p. 101?), Model-based testing (implied by Doğan et al., 2014, p. 179) |  | May involve data flow analysis or "data analysis". See Patton (2006, p. 114) and van Vliet (2000, pp. 424-425)
Data Integrity Testing | Approach | "Testing the methods and processes used to access and manage the data and to ensure access methods, processes and data rules function as expected" (Kam, 2008, p. 44) |  |  | 
Data Migration Testing (Firesmith, 2015, p. 53) | Type (implied by Firesmith, 2015, p. 53) |  | Correctness Testing (Firesmith, 2015, p. 53), Data Integrity Testing?, Database Admin Testing? |  | 
Database Admin Testing (Firesmith, 2015, p. 39) | Practice? |  | Operator Testing (Firesmith, 2015, p. 39) |  | 
Database Coverage Testing? (Doğan et al., 2014, Tab. 13) | Technique? (inferred from control flow testing) |  | Web Application Testing (Doğan et al., 2014, Tab. 13), Control Flow Testing? |  | Includes page access, SQL statement, and server environment variable testing (Doğan et al., 2014, Tab. 13; OG Alalfi et al., 2010)
Database Integrity Testing | Approach | Data integrity testing where data is stored in a database that also ensures "that during access to the database, data is not corrupted or unexpectedly deleted, updated or created" (Kam, 2008, p. 44) | Web Application Testing (implied by Kam, 2008, p. 9), Data Integrity Testing? |  | 
Data-driven Testing | Practice (IEEE, 2022, p. 22), Technique (Kam, 2008, p. 43; OG Fewster and Graham) | Testing "that uses data files to contain the test data [including "test input" (Kam, 2008, p. 43)] and expected results needed to execute the test scripts" (Hamburg and Mogyorodi, 2024) | Automated Testing (IEEE, 2022, pp. 22, 35; Firesmith, 2015, p. 44; implied by Hamburg and Mogyorodi, 2024), Scripted Testing (Kam, 2008, p. 43) | Sometimes spelled without a hyphen (Kam, 2008, p. 43) | Similar to keyword-driven testing (Hamburg and Mogyorodi, 2024). Can be used to support "test execution tools such as capture/playback tools" (Kam, 2008, p. 43)
Decision Condition Testing | Technique (Kam, 2008, p. 44) | Testing "in which test cases are designed to execute condition outcomes and decision outcomes" (Kam, 2008, p. 44) | Specification-based Testing (Kam, 2008, p. 44) |  | 
Decision Table Testing | Technique (IEEE, 2022, pp. 4, 22; 2021, p. 3, Fig. 2; Washizaki, 2024, p. 5-11; Hamburg and Mogyorodi, 2024) | Testing "based on exercising decision rules in a decision table" (IEEE, 2022, p. 4; 2021, p. 3; similar on p. 18 and in Hamburg and Mogyorodi, 2024) "by considering every possible combination of conditions and their corresponding resultant actions" (Washizaki, 2024, p. 5-11) | Specification-based Testing (IEEE, 2022, pp. 4, 22; 2021, p. 3, Fig. 2; Washizaki, 2024, p. 5-11; Hamburg and Mogyorodi, 2024; Sharma et al., 2021, Fig. 1; Firesmith, 2015, p. 47), Model-based Testing (IEEE, 2022, p. 13; 2021, pp. 6, 18; Bourque and Fairley, 2014, p. 4-10) |  | Any "infeasible decision rules … do not need to be covered during testing" (IEEE, 2021, p. 18). Related to cause-effect graphing (Washizaki, 2024, p. 5-11). See BS 7925-2; Myers 1979; Peters and Pedrycz, 2000, pp. 448, 450-453
Decision Testing | Technique (IEEE, 2022, pp. 4, 22; 2021, p. 3, Fig. 2; Washizaki, 2024, p. 5-13; Hamburg and Mogyorodi, 2024) | Testing "based on exercising decision outcomes in the control flow of the test item" (IEEE, 2022, p. 4; 2021, p. 3; similar in Hamburg and Mogyorodi, 2024) | Structure-based Testing (IEEE, 2022, pp. 4, 22; 2021, p. 3, Fig. 2; Hamburg and Mogyorodi, 2024; Sharma et al., 2021, Fig. 1), Control Flow Testing (IEEE, 2022, p. 4; 2021, p. 3; Washizaki, 2024, p. 5-13), Decision Condition Testing (implied by Kam, 2008, p. 44) | Condition Testing (Washizaki, 2024, p. 5-13) | 
Defect-based Testing | Technique (Hamburg and Mogyorodi, 2024) | Testing "in which test cases are developed from what is known about a specific defect type" (Hamburg and Mogyorodi, 2024) | Fault-Based Testing? |  | Related to the idea of a "defect taxonomy" (Hamburg and Mogyorodi, 2024)
Denial of Service | Approach | "Security attack[s] … intended to overload the system with requests such that legitimate requests cannot be serviced" (Hamburg and Mogyorodi, 2024) | Security Attacks (Hamburg and Mogyorodi, 2024), Stress Testing? | DoS (Hamburg and Mogyorodi, 2024) | 
Design-based Testing | Technique? | Testing "in which test cases are designed based on the architecture and/or detailed design of a component or system" (Kam, 2008, p. 44) |  |  | 
Design-driven Testing | Approach | Testing that "verifies" the "system conforms to [the specified] design" (Firesmith, 2015, p. 33) |  |  | 
Desk Checking | Technique (IEEE, 2017, p. 133) | A "manual simulation of program execution" or visual examination of code listings, test results, or other documentation to "detect faults" and " identify errors" (IEEE, 2017, p. 133; OG ISO/IEC 2015) |  |  | Related to inspections and walkthroughs (IEEE, 2017, p. 133)
Desktop Development Testing | Approach, Level? (Gerrard, 2000a, p. 13) | Testing of web-based applications that focuses on, "broadly, what the browser executes" (Gerrard, 2000a, p. 13) | Web Application Testing, Development Testing? |  | 
Deterministic Testing? | Technique? (implied by Washizaki, 2024, p. 5-16) |  |  |  | In contrast to random testing; it is unclear if this is an actual test approach or simply a method for selecting input data, etc. for tests (Washizaki, 2024, p. 5-16)
Dev/Sec/Ops Testing? (implied by Dev/Sec/Ops (Washizaki, 2024, p. 9-5) and DevOps testing (Firesmith, 2015, p. 29)) | Practice? | DevOps testing that "applies security at all phases of the software life cycle", including in the testing phase (Washizaki, 2024, p. 9-5) | DevOps Testing, Security Testing, Agile Testing, Shift-Left Testing (Washizaki, 2024, p. 9-5), Continuous Testing, Automated Testing (Washizaki, 2024, p. 9-5; implied by DevOps testing) |  | 
Developer Testing (Firesmith, 2015, p. 39; Gerrard, 2000a, p. 11) | Practice? | Testing tied to "developer code check-in/check-out procedures" (Gerrard, 2000a, p. 11) | Development Testing (IEEE, 2017, p. 136), Role-based Testing (Firesmith, 2015, p. 39) |  | See Extreme Programming Explained by Kent Beck
Development Environment Testing (Firesmith, 2015, p. 25) | Technique? |  | Development Testing? (Gerrard, 2000a, p. 11) |  | 
Development Organization Testing (Firesmith, 2015, p. 37) | Practice? |  | Organization-based Testing (Firesmith, 2015, p. 37), Development Testing |  | 
Development Testing | Level? Stage? | "Testing conducted during the development of a system or component, usually in the development environment by the developer … to establish whether … [it] satisfies its criteria" (IEEE, 2017, p. 136) |  | Developmental Testing (DT)? (Firesmith, 2015, p. 30) | The secondary definition, "testing conducted to establish whether a new software product or software-based system (or components of it) satisfies its criteria" (IEEE, 2017, p. 136), seems to overlap with acceptance testing. Can be used to generate test cases for regression testing (Gerrard, 2000a, p. 11); is this sufficient for a "parent" relation? There are "[m]any [t]ypes" (Firesmith, 2015, p. 30), but no examples are given
Development Tool Testing (Firesmith, 2015, p. 25) | Technique? |  | Development Testing? |  | 
Device-based Testing | Practice? | "Testing in which test suites are executed on physical or virtual devices" (Hamburg and Mogyorodi, 2024) |  |  | 
DevOps Testing (Firesmith, 2015, p. 29) | Practice? | Testing performed in the context of DevOps: a "set of principles and practices … for … specifying, developing, and operating software and systems products and services, and continuous improvements in all aspects of the life cycle" (Washizaki, 2024, p. 10-7; OG [11]) | Continuous Testing (Firesmith, 2015, p. 29; implied by Washizaki, 2024, pp. 10-7 (OG [11]), 11-11), Automated Testing (implied by Washizaki, 2024, p. 11-11) |  | 
Differential Assertion Checking (DAC) (Lahiri et al., 2013) | Practice? | The "checking [of] two versions of a program with respect to a set of assertions" to see if there is "an environment in which [one version] passes but [another version] fails" (Lahiri et al., 2013, p. 345) | Assertion Checking, Relative Correctness Testing (if it exists) (Lahiri et al., 2013, p. 345), Regression Testing (Lahiri et al., 2013, p. 346), Back-to-Back Testing? |  | 
Disaster/Recovery Testing (or Disaster Recovery Testing (implied by Washizaki, 2024, p. 6-8; IEEE, 2013, p. 20)) | Type (IEEE, 2022, p. 22) | Testing to determine the degree to which a system can "return to normal operation after a hardware or software failure " (IEEE, 2017, p. 140) |  |  | "Requires stopping the service, identifying the checkpoint state and triggering the failover process"; "should be constantly rehearsed as changes to the production environment are made" (Washizaki, 2024, p. 6-8). Difference between this and recovery testing (in the context of performance)?
Distributed Testing (Firesmith, 2015, p. 42) | Approach |  |  |  | 
DOM Testing | Technique (Bajammal and Mesbah, 2018, p. 199) | The "use [of] a browser automation tool… to make assertions on the DOM (Document Object Model) of the webpage" (Bajammal and Mesbah, 2018, p. 193), such as the presence of certain elements and their properties and hierarchy (p. 199) | Web Application Testing (Bajammal and Mesbah, 2018, p. 193), Model-based Testing (implied by Doğan et al., 2014, p. 179) |  | Cannot be used for canvas elements (Bajammal and Mesbah, 2018, p. 193), although their visual information may be able to be "represented as an augmented DOM inside the canvas element" (Bajammal and Mesbah, 2018), which may be used to support test-driven development (p. 199)
Domain Analysis? | Approach? | "A combination of equivalence partitioning and boundary value analysis" (IEEE, 2021, p. 11; OG Beizer 1995) | Equivalence Partitioning, Boundary Value Analysis (IEEE, 2021, p. 11; OG Beizer 1995) |  | See Beizer 1995
Domain-Based Testing (Firesmith, 2015, p. 26) | Technique? |  |  |  | 
Domain-Independent Testing (Firesmith, 2015, p. 26) | Technique? |  | Domain-Based Testing (Firesmith, 2015, p. 26) |  | There are "[m]any [t]ypes" (Firesmith, 2015, p. 26), but no examples are given
Domain-Specific Testing (Firesmith, 2015, p. 26) | Technique? |  | Domain-Based Testing (Firesmith, 2015, p. 26) |  | All examples given by Firesmith (2015, p. 26) are focused on hardware, but this might not be representative
DT Organization Testing (Firesmith, 2015, p. 37) | Practice? |  | Independent Test Organization Testing (Firesmith, 2015, p. 37), Developmental Testing? (Firesmith, 2015, p. 30) |  | 
Dynamic Analysis | Approach | The "process of evaluating a system or component based on its behavior during execution" (IEEE, 2017, p. 149) | Dynamic Testing? (implied by their static counterparts in IEEE, 2022, pp. 9, 17, 25, 28 and Hamburg and Mogyorodi, 2024) |  | This definition seems vague, but may have a similar relation to "dynamic testing" as between the static counterparts
Dynamic Testing | Approach | "Testing in which a test item is evaluated by executing it" (IEEE, 2022, p. 4) | V-Model Testing, W-Model Testing (Gerrard, 2000a, p. 9) | Dynamic Analysis? (IEEE, 2017, p. 149) | Can "only occur in the parts of the life cycle when executable code is available" (IEEE, 2022, p. 18)
Each Choice Testing | Technique (IEEE, 2022, p. 22; 2021, p. 2, Fig. 2) | Testing that covers enough P-V pairs so that "each parameter value is included at least once" (IEEE, 2021, p. 17) | Combinatorial Testing (IEEE, 2022, p. 22; 2021, pp. 2, 17, Fig. 2), t-wise Testing | 1-wise Testing (IEEE, 2021, p. 17) | "The minimum number of test cases required to achieve 100% … [coverage is] the maximum number of values any one of the test item parameters can take" (IEEE, 2021, p. 17). See Grindal et al., 2005
Efficiency Testing (Kam, 2008, p. 44) | Type (implied by its quality (IEEE, 2017, p. 154; Hamburg and Mogyorodi, 2024)) | Testing that evaluates the "degree to which a system or component performs its designated functions with minimum consumption of resources" (IEEE, 2017, p. 154) or "the degree to which resources are expended in relation to results achieved" (Hamburg and Mogyorodi, 2024) |  |  | Has the following subcategories: "execution" and "storage" (IEEE, 2017, p. 154). Related to effectiveness testing (if it exists) (Hamburg and Mogyorodi, 2024). See the IREB Glossary
Elasticity Testing | Approach | Testing that "assesses the ability of the SUT … to rapidly expand or shrink compute, memory, and storage resources without compromising the capacity to meet peak utilization" (Washizaki, 2024, p. 5-9) | Non-functional Testing (Washizaki, 2024, p. 5-9) |  | Some objectives are "to control behaviors, to identify the resources to be (un)allocated, to coordinate events in parallel, and to evaluate scalability" (Washizaki, 2024, p. 5-9); the last one seems like it should be under scalability testing?
Elementary Comparison Testing | Technique (Kam, 2008, p. 44) | Testing "in which test cases are designed to execute combinations of inputs using the concept of condition determination coverage" (Kam, 2008, p. 44) | Specification-based Testing (Kam, 2008, p. 44), Comparison Testing? |  | 
Embedded Tester Testing (Firesmith, 2015, p. 39) | Practice? |  | Tester Testing (Firesmith, 2015, p. 39) |  | 
Encryption Testing (Firesmith, 2015, p. 57) | Type (implied by Firesmith, 2015, p. 57) |  | Security Testing (Firesmith, 2015, p. 57) |  | 
End-to-end Functionality Testing | Approach |  | Smoke Testing, Dynamic Testing, Systems Integration Testing (Gerrard, 2000a, Tab. 2; 2000b, Tab. 1), Acceptance Testing (2000b, p. 31), Scenario-based Testing (implied by 2000b, p. 31), Functionality Testing, End-to-end Testing | Spelled without hyphens by Gerrard (2000a, Tab. 2; 2000b, Tab. 1), but they were added for consistency | 
End-to-end Testing | Level?, Type (Hamburg and Mogyorodi, 2024), Technique? (inferred from specification-based testing) | Testing "in which business processes are tested from start to finish under production-like circumstances" (Hamburg and Mogyorodi, 2024) | Integration Testing (Sharma et al., 2021, p. 603), Specification-based Testing (Firesmith, 2015, p. 47), Operational (Acceptance) Testing? | E2E Testing (Hamburg and Mogyorodi, 2024) | Ambiguous: does this test the business processes or the system?
Endurance Testing | Type (IEEE, 2013, p. 2; implied by Firesmith, 2015, p. 55) | "Testing conducted to evaluate whether a test item can sustain a required ["significant" (Hamburg and Mogyorodi, 2024)] load continuously for a specified period of time" (IEEE, 2013, p. 2; similar in Hamburg and Mogyorodi, 2024) "within the system's operational context" (Hamburg and Mogyorodi, 2024) | Performance Efficiency Testing (IEEE, 2013, p. 2), Reliability Testing (Firesmith, 2015, p. 55) |  | 
Equivalence Checking (Lahiri et al., 2013, p. 345) | Technique? | Verifying the "semantic equivalence" between "previous versions of an evolving program …  to ensure the correctness of [a] transformation", such as refactoring (Lahiri et al., 2013, p. 345; OG [25], [12], [19]) | Incremental Verification (by "carrying over invariants that are unaffected by the syntactic changes" (Lahiri et al., 2013, p. 345; OG [28]); requires the original to "not have any false warnings") (Lahiri et al., 2013, p. 345), Relative Correctness Testing (if it exists) (Lahiri et al., 2013, p. 354), Regression Testing? |  | "Applicable in very limited contexts … since most software changes … induce some behavioral change" (Lahiri et al., 2013, p. 345)
Equivalence Partitioning | Technique (IEEE, 2022, pp. 4, 20, 22; 2021, pp. 4, 8, Fig. 2; 2013, p. 3; Washizaki, 2024, p. 5-11) | Testing "designed to exercise equivalence partitions by using one or more [arbitrary (IEEE, 2021, p. 11)] representative members of each partition" (2022, p. 4; 2021, p. 4; 2013, p. 3) "based on a specified criterion or relation" to create "a representative test suite" (Washizaki, 2024, p. 5-11) | Specification-based Testing (IEEE, 2022, p. 22; 2021, p. 4, Fig. 2; Washizaki, 2024, p. 5-11; Hamburg and Mogyorodi, 2024; Sharma et al., 2021, Fig. 1), Model-based Testing (IEEE, 2022, p. 13; 2021, p. 6, 10), Negative Testing (IEEE, 2021, pp. 10-11), Positive Testing (p. 11), One-to-One Testing, Minimized Testing (can be; p. 11; OG BS 7925-2; Myers 1979), Usability Testing, Classification Tree Method? (can be; p. 10), Gray-Box Testing (Firesmith, 2015, p. 48), Dynamic Testing, W-Model Testing (Gerrard, 2000a, Fig. 5), Functional Testing? (IEEE, 2022, p. 20) | Equivalence Classing (although this sometimes has a bit different of a definition; see IEEE, 2021; p. 10; 2017, p. 164) (Patton, 2006, p. 67; implied by IEEE, 2022, p. 4; 2021, p. 4), Partition Testing (Hamburg and Mogyorodi, 2024; OG Beizer), Equivalence Testing? (Sharma et al., 2021, Fig. 1) | 
Ergonomics Testing | Approach | "Testing to determine whether a component or system and its input devices are being used properly with correct posture" (Hamburg and Mogyorodi, 2024) |  |  | Does this test the system or its use?
Error Guessing | Technique (IEEE, 2022, pp. 4, 22, 34; 2021, pp. 4, 11, Fig. 2; 2013, p. 3; Washizaki, 2024, p. 5-13) | Testing based on "the tester's knowledge of past failures, or general knowledge of failure modes" (IEEE, 2022, p. 4; 2013, p. 3) "to anticipate the most plausible faults in each SUT" (Washizaki, 2024, p. 5-13) | Experience-based Testing (IEEE, 2022, pp. 4, 22; 2021, pp. 4, 11, Fig. 2; Washizaki, 2024, p. 5-13; Hamburg and Mogyorodi, 2024; Sharma et al., 2021, Fig. 1; Firesmith, 2015, p. 50), Fault-based Testing (Bourque and Fairley, 2014, p. 4-9) | Error Guessing Testing? (Firesmith, 2015, p. 50) | See Patton (2006, pp. 88-89)
Error Seeding | Practice? | The "process of intentionally adding known faults to those already in a computer program … [to] estimat[e] the number of faults remaining" (IEEE, 2017, p. 165) |  | Fault Seeding (IEEE, 2017, p. 165; van Vliet, 2000, p. 427), Bug Seeding (IEEE, 2017, p. 165), Bebugging (Hamburg and Mogyorodi, 2024) | See van Vliet (2000, pp. 427-428). Also mentioned by Firesmith (2015, p. 34)
Error Tolerance Testing (Firesmith, 2015, p. 56) | Type (implied by its quality (IEEE, 2017, p. 166) and by Firesmith, 2015, p. 56) | Testing the "ability of a system or component to continue normal operation despite the presence of erroneous inputs" (IEEE, 2017, p. 166) "that should be rejected" (Kam, 2008, p. 45) | Robustness Testing (Firesmith, 2015, p. 56) | Invalid Testing (Kam, 2008, p. 45) | Related to fault tolerance testing and robustness testing (IEEE, 2017, p. 166)
Event Space Testing | Technique? (inferred from control flow testing) | Testing that aims to maximize the "number of events in the GUI space of the SUT exercised by [the] test suite" (Doğan et al., 2014, Tab. 13; OG Saxena et al., 2010) | Web Application Testing (Doğan et al., 2014, Tab. 13), GUI Testing, Control Flow Testing? | All-Events Testing? (Doğan et al., 2014, Tab. 13; OG Mansour and Houri, 2006) | 
Evidence-based Testing | Technique (Washizaki, 2024, p. 5-12) | Testing that "follows a rigorous research approach", including "identifying" and "critically analyzing the evidence in light of the problem" (Washizaki, 2024, p. 5-12) | Specification-based Testing (Washizaki, 2024, p. 5-12) |  | "Evidence-based software engineering (EBSE) … is the _best_ solution for a practical problem" (Washizaki, 2024, p. 5-12); related to experience-based testing?
Exhaustive Testing  | Approach (IEEE, 2022, p. 4; Hamburg and Mogyorodi, 2024) | Testing "in which all combinations of input values and preconditions are tested" (IEEE, 2022, p. 4; similar to Hamburg and Mogyorodi, 2024) | Dynamic Testing (IEEE, 2022, p. 18) | Complete Testing (Hamburg and Mogyorodi, 2024; Kam, 2008, p. 6) | Impossible in most non-trivial situations (IEEE, 2022, p. 4; Washizaki, 2024, p. 5-5; van Vliet, 2000, p. 421; Peters and Pedrycz, 2000, pp. 439, 461)
Experience-based Testing | Practice (IEEE, 2022, p. 22; 2021, p. viii), Technique (Firesmith, 2015, p. 46) | Testing based on testers' experience (IEEE, 2022, p. 4; 2021, p. 4; Hamburg and Mogyorodi, 2024), knowledge, and intuition (Washizaki, 2024, p. 5-13; Hamburg and Mogyorodi, 2024), as well as the SUT's context (Washizaki, 2024, p. 5-13) | Dynamic Testing (IEEE, 2022, p. 17; Sharma et al., 2021, Fig. 1), Unscripted Testing (often) (IEEE, 2022, p. 34) | Sometimes spelled without a hyphen (Sharma et al., 2021, Fig. 1) | "Can include concepts such as test attacks, tours, and error taxonomies" and can "target … security, performance, and other quality areas" (IEEE, 2022, p. 4; 2021, p. 4). See Patton (2006, pp. 88-89)
Expert Usability Reviews | Approach | "Informal usability review[s] in which the reviewers are … usability experts [and/]or subject matter experts" (Hamburg and Mogyorodi, 2024) | Informal Testing, Usability Testing, Reviews (Hamburg and Mogyorodi, 2024) |  | 
Exploratory Testing | Practice (IEEE, 2022, pp. 20, 22, 34; 2021, p. viii) | "Simultaneous learning, test design and test execution" (Washizaki, 2024, p. 5-14; similar in Hamburg and Mogyorodi, 2024) that is "spontaneous" and aims to find "hidden properties" that "can interfere with other properties of the software under test" (IEEE, 2022, p. 5; 2013, p. 3) | Experience-based Testing (IEEE, 2022, p. 5; 2021, p. viii; 2013, p. 3; Washizaki, 2024, p. 5-14; Sharma et al., 2021, Fig. 1; Firesmith, 2015, p. 50); Unscripted Testing (IEEE, 2022, p. 33; 2017, p. 174; Firesmith, 2015, p. 45; implied by Washizaki, 2024, p. 5-14), Informal Testing (Kam, 2008, p. 44) |  | "Test cases are not defined in advance but are dynamically designed, executed, and modified according to the collected evidence" (Washizaki, 2024, p. 5-14), but this process is often structured with "session sheets", which are also "used to capture information about what was tested, and any anomalous behaviour observed" (2022, p. 33), or "test charters" (Hamburg and Mogyorodi, 2024). Patton says this is used when a specification is not available to determine and test the software's features (2006, p. 65). "Widely used in shift-left development (such as Agile)" (Washizaki, 2024, p. 5-14). See Whittaker (2010)
Extended Entry Table Testing | Technique (inferred from decision table testing and IEEE, 2021, p. 18) | Testing "based on exercising decision rules" (IEEE, 2022, p. 4) in an extended entry table (2021, p. 18; 2017, p. 175; OG ISO, 1984) | Decision Table Testing (IEEE, 2021, p. 18; 2017, p. 175; OG ISO, 1984), Equivalence Partitioning (IEEE, 2021, p. 18) |  | 
External Links Integration (Testing) (Gerrard, 2000a, Tab. 2; 2000b, Tab. 1) | Level (inferred from integration testing) |  | Functional Testing, Dynamic Testing, Large Scale Integration Testing (Gerrard, 2000a, Tab. 2; 2000b, Tab. 1), Integration Testing, Web Application Testing |  | 
Extreme Value Analysis (implied by Kam, 2008, p. 7) | Technique (inferred from boundary value analysis) |  | Specification-based Testing (Kam, 2008, p. 7), Equivalence Partitioning (inferred from boundary value analysis) |  | 
Factory Acceptance Testing | Level (IEEE, 2022, p. 22; Firesmith, 2015, p. 30; inferred from acceptance testing) |  | Acceptance Testing (IEEE, 2022, p. 22; Firesmith, 2015, p. 30) | FAT (Firesmith, 2015, p. 30) | 
Failover Testing | Approach | Testing that "validates the SUT's ability to manage heavy loads or unexpected failure to continue typical operations" (Washizaki, 2024, p. 5-9) by entering a "backup operational mode in which [these responsibilities] … are assumed by a secondary system" (Hamburg and Mogyorodi, 2024) | Non-functional Testing (Washizaki, 2024, p. 5-9), Bottom-Up Testing (Gerrard, 2000b, p. 27), Failure Tolerance Testing? (Firesmith, 2015, p. 56), Data Center Testing? (Firesmith, 2015, p. 24) | Failover and Recovery Testing? (p. 56), Failover and Restore Testing? (Firesmith, 2015, p. 24) | Can be done by "allocating extra resources" (Washizaki, 2024, p. 5-9) and "should be constantly rehearsed as changes to the production environment are made" (Washizaki, 2024, p. 6-8). Failures are simulated "with an automated load running to explore system behaviour in production situations" (Gerrard, 2000b, p. 27). Related to recoverability validation (Washizaki, 2024, p. 5-9)
Failure Tolerance Testing (Firesmith, 2015, p. 56) | Type (implied by Firesmith, 2015, p. 56) |  | Robustness Testing (Firesmith, 2015, p. 56) |  | 
Fault Injection Testing (IEEE, 2022, p. 42) | Approach | Testing where "faults are artificially introduced into the SUT" (Washizaki, 2024, p. 5-18) to, at least partially, "test the robustness of the system in the event of internal and external failures" (IEEE, 2022, p. 42) and "whether it can detect and possibly recover from [them]" (Hamburg and Mogyorodi, 2024) | Robustness Testing (IEEE, 2022, p. 42), Fault Tolerance Testing (Firesmith, 2015, p. 56) |  | 
Fault Tolerance Testing (Firesmith, 2015, p. 56) | Type (implied by its quality (ISO/IEC, 2023a; IEEE, 2017, pp. 38, 375; Washizaki, 2024, p. 7-10) and by Firesmith, 2015, p. 56) | Testing the "capability of a product to operate as intended despite the presence of hardware or software faults" (ISO/IEC, 2023a; similar in Washizaki, 2024, p. 7-10) "by detecting errors and then recovering from them or containing their effects if recovery is not possible" (Washizaki, 2024, p. 4-11) | Reliability Testing (IEEE, 2017, p. 375; Washizaki, 2024, p. 7-10), Availability Testing (IEEE, 2017, p. 38), Robustness Testing (Firesmith, 2015, p. 56), Dependability Testing (if it exists) (ISO/IEC, 2023a) | Robustness Testing (Hamburg and Mogyorodi, 2024) | 
Fault Tree Analysis | Technique? (Hamburg and Mogyorodi, 2024) | "A technique for analyzing the causes of failures that uses a hierarchical model of events and their logical relationships" (Hamburg and Mogyorodi, 2024) | Static Analysis |  | 
Fault-Based Testing | Technique (Washizaki, 2024, p. 5-14) | Testing that "devise[s] test cases specifically to reveal likely or predefined fault categories" (Washizaki, 2024, p. 5-14) |  |  | See (Doğan et al., 2014, Tab. 27) for a collection of fault models/bug taxonomies for web application testing
Feature-based Testing (Firesmith, 2015, p. 28) | Approach |  | Unit Testing? (implied by Firesmith, 2015, p. 28) |  | 
